user_id,recency,total_trips,avg_spend,total_tip,avg_tip,avg_rating_given,loyalty_status,avg_distance,avg_duration,RFMS_segment,churned,city_Cairo,city_Lagos,city_Nairobi
R00000,0.65,0.8333333333333334,-0.35409048172403446,-0.5409622886866059,-0.6859756196800285,0.8333333333333338,0,-0.3871629881426638,-0.35088607594936694,2,0.0,False,False,True
R00001,-0.35,-1.0,-1.287468183077316,-0.9661898569570871,-0.9783050957798285,0.3333333333333338,0,-0.1710567635746385,-0.7011754068716094,0,0.0,False,False,True
R00002,0.1,0.6666666666666666,0.25992458598075047,-0.3875162548764629,-0.5331770909623553,-0.5,0,0.755979085750268,-0.09572784810126556,3,0.0,False,True,False
R00003,2.45,-1.8333333333333333,-0.9660129739678573,-0.9518855656697008,-0.8624253373044936,0.6666666666666676,0,1.3479881241999325,0.11603375527426191,0,1.0,False,False,True
R00004,0.0,-0.6666666666666666,0.7865189745876932,0.15474642392717833,0.47621372654330046,-1.0000000000000007,1,1.0365581511039303,0.8615506329113922,1,0.0,False,True,False
R00005,-0.5,-0.16666666666666666,-0.46032676514863263,-0.5929778933680104,-0.6043513157680589,0.8333333333333338,0,-0.2533134435393142,-0.32978014656895366,1,0.0,False,True,False
R00006,2.75,-1.0,-0.582225729851024,0.9674902470741225,1.9258499747733673,-0.16666666666666619,2,-0.19794643344334215,-0.10443037974683542,0,1.0,False,True,False
R00007,0.35,-0.16666666666666666,2.11740751265257,1.2847854356306894,1.4736722182390696,0.6666666666666676,0,0.338452815448281,1.1102598267821453,2,0.0,False,False,True
R00008,-0.3,-0.16666666666666666,-0.523314926840296,-0.14304291287386212,-0.10643154930928707,0.8333333333333338,0,0.10010328860605508,1.1872085276482338,1,0.0,False,False,True
R00009,3.4,-1.0,1.4999186558646944,-0.6866059817945384,-0.5584037237765084,0.16666666666666619,0,1.5594189709026267,0.40280289330922275,0,1.0,False,True,False
R00010,-0.6,1.8333333333333333,-0.4633927211756749,0.5903771131339404,-0.0039323096727991984,-0.3333333333333338,0,0.8209316107277663,0.4514087382605149,3,0.0,False,False,True
R00011,0.4,-0.3333333333333333,1.0891632659895691,-0.28218465539661886,-0.2122834714016783,-0.8333333333333338,2,-2.4557472816654045,-0.8354430379746833,1,0.0,True,False,False
R00012,0.45,0.5,-0.5358832168672796,1.1352405721716519,0.884715349468472,0.16666666666666619,2,-0.3034007740343405,0.4449642267473856,1,0.0,True,False,False
R00013,1.75,-1.0,0.4809806958461896,0.03771131339401833,0.5294337841576747,-0.5,0,-1.1569393803922225,0.4624773960216999,0,1.0,True,False,False
R00014,-0.4,1.5,-0.29620459384428,0.09232769830949296,-0.28760606269786354,0.8333333333333338,0,0.8671448221386404,-0.27367961588825673,3,0.0,False,False,True
R00015,-0.3,1.0,0.15527868874721645,2.3211963589076725,1.611712669278218,0.8333333333333338,2,-0.7425182275199145,-0.40165530671859706,3,0.0,False,False,True
R00016,0.45,0.0,0.07573342253395976,2.617685305591678,2.7449506046254246,-1.0000000000000007,2,-0.4464535189722513,0.3446202531645566,1,0.0,False,False,True
R00017,-0.45,-0.16666666666666666,-0.09336448386461678,0.5877763328998702,0.7023283025688336,-0.5,2,-1.0356540291959144,0.7145236508993997,2,0.0,False,True,False
R00018,0.0,0.6666666666666666,-1.062182399407805,0.8868660598179455,0.5833048516511237,-0.16666666666666619,2,0.5862314151936341,0.017405063291139732,2,0.0,False,False,True
R00019,-0.4,1.0,1.3142435594337805,-0.25617685305591675,-0.4726206527876368,0.0,0,-0.6810009619025934,0.24902629016553085,3,0.0,False,True,False
R00020,-0.45,-0.16666666666666666,0.7682235849891934,0.4408322496749026,0.5397128875114889,0.6666666666666676,0,0.21879750132455542,-1.0113257828114592,2,0.0,True,False,False
R00021,-0.1,-0.8333333333333334,-1.0436608804341845,-0.5448634590377113,-0.39760428364500433,0.6666666666666676,0,-0.842799357686188,1.3506329113924052,0,0.0,True,False,False
R00022,0.1,-0.3333333333333333,-0.4872435812683598,-0.3719115734720417,-0.31709606193274004,0.3333333333333338,0,0.20523633915938796,0.8470464135021099,1,0.0,False,True,False
R00023,0.0,0.3333333333333333,-0.6271533654732224,0.10923276983094928,-0.004453499400035261,0.16666666666666619,0,-1.0482951154444413,0.07594936708860825,2,0.0,False,True,False
R00024,2.45,0.0,0.4326288458333252,0.7100130039011705,0.7393844701593346,-0.16666666666666619,2,-0.4138354492756331,-1.1487341772151896,1,1.0,False,False,True
R00025,-0.5,-1.1666666666666667,0.290080276543385,-0.752925877763329,-0.6219523035108211,-1.1666666666666676,0,-0.7404223906384926,0.09639727361246313,1,0.0,True,False,False
R00026,0.8,-0.3333333333333333,0.19692470774115467,-0.40182054616384916,-0.35203359210976015,0.3333333333333338,0,0.14858074068101185,-0.5685654008438815,0,0.0,False,True,False
R00027,-0.3,0.6666666666666666,1.018817112195532,0.8127438231469442,0.5183666162134011,0.3333333333333338,1,0.3693642228528635,-0.7658227848101274,3,0.0,True,False,False
R00028,2.25,-0.3333333333333333,0.23996349381767412,-0.39791937581274367,-0.3474765229562358,0.6666666666666676,1,0.4990671728599751,0.2436708860759488,1,1.0,True,False,False
R00029,-0.3,-1.0,0.7694889721660358,-0.7191157347204161,-0.6072294647071268,0.5,0,0.4395650506589711,-1.4023508137432188,1,0.0,False,True,False
R00030,0.35,-0.6666666666666666,-0.3598339335211424,-0.43042912873862155,-0.29279169311394293,-0.6666666666666676,0,-0.8081754487712484,0.548259493670886,0,0.0,False,True,False
R00031,0.1,0.8333333333333334,0.7886160023368691,0.5929778933680105,0.26772781276955887,-0.6666666666666676,0,0.4454953050276999,0.8521518987341766,3,0.0,False,True,False
