user_id,recency,total_trips,total_spend,avg_spend,avg_surge,total_tip,avg_tip,avg_rating_given,total_time_on_app,avg_time_on_app,total_pages_visited,avg_pages_visited,avg_conversion_rate,loyalty_status,city,first_session,last_session,avg_distance,avg_duration,active_days
R00000,26,100,1464.2,14.642000000000001,1.0959999999999999,16.12,0.1612,5.0,9200,92.0,300,3.0,0.25,Bronze,Nairobi,2025-04-27 00:49:27+00:00,2025-04-27 16:06:46+00:00,3.9455721697553905,30.32,336
R00001,6,42,541.59,12.895000000000001,1.0714285714285714,2.2800000000000002,0.05428571428571429,4.7,7336,174.66666666666666,112,2.6666666666666665,0.0,Bronze,Nairobi,2025-04-27 07:10:07+00:00,2025-04-27 10:33:25+00:00,4.056644816461105,28.642857142857142,346
R00002,15,72,1136.97,15.79125,1.1916666666666667,15.63,0.21708333333333335,4.2,13752,191.0,216,3.0,0.0,Bronze,Lagos,2025-04-27 07:32:20+00:00,2025-04-27 15:04:35+00:00,4.533115707484351,31.541666666666668,298
R00003,62,27,364.40999999999997,13.496666666666666,1.1555555555555554,2.61,0.09666666666666666,4.9,2034,75.33333333333333,45,1.6666666666666667,0.0,Bronze,Nairobi,2025-04-26 23:28:16+00:00,2025-04-27 09:56:39+00:00,4.837392046149506,32.55555555555556,285
R00004,13,32,536.86,16.776875,1.2625,18.76,0.58625,3.9,544,17.0,80,2.5,0.0,Silver,Lagos,2025-04-27 06:25:27+00:00,2025-04-27 18:28:35+00:00,4.677325618426719,36.125,326
R00005,3,114,1646.52,14.443157894736842,1.068421052631579,21.78,0.1910526315789474,5.0,3458,30.333333333333332,190,1.6666666666666667,0.16666666666666666,Bronze,Lagos,2025-04-27 05:53:51+00:00,2025-04-27 18:09:20+00:00,4.014367148748552,30.42105263157895,347
R00006,68,70,995.05,14.215,1.1285714285714286,78.15,1.1164285714285715,4.4,3640,52.0,210,3.0,0.6,Gold,Lagos,2025-04-27 10:48:42+00:00,2025-04-27 19:54:16+00:00,4.0428242668340415,31.5,296
R00007,20,95,1830.45,19.267894736842106,1.1842105263157894,90.35,0.9510526315789473,4.9,23446,246.8,266,2.8,0.0,Bronze,Nairobi,2025-04-27 06:59:08+00:00,2025-04-27 13:41:26+00:00,4.31851870545765,37.31578947368421,329
R00008,7,190,2721.8,14.325263157894737,1.068421052631579,70.9,0.37315789473684213,5.0,19399,102.1,342,1.8,0.0,Bronze,Nairobi,2025-04-27 04:57:36+00:00,2025-04-27 18:19:23+00:00,4.196013614082611,37.68421052631579,342
R00009,81,42,760.71,18.112142857142857,1.3785714285714286,8.73,0.20785714285714288,4.6,924,22.0,140,3.3333333333333335,0.0,Bronze,Lagos,2025-04-27 00:32:12+00:00,2025-04-27 22:20:45+00:00,4.946061677417373,33.92857142857143,281
